source,block_index,audio_file,item,answer,trial_type,response_alternatives,chance_level,assessment_stage,item_id,d,prompt,orig_item_num,task,corpus_id,task_id,item_uid,randomize,time_limit,difficulty,trial_num,required_selections,image
Modified ToM-battery,8,ToM-scene-8-q4-false_belief,8g,no,false_belief_question,yes,0.5,test_response,ToM-scene-8-q4-false_belief,,Is Allie being mean and naughty for taking Mike’s pencil?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,8,ToM-scene-8-q5-false_belief,8g,no,false_belief_question,yes,0.5,test_response,ToM-scene-8-q5-false_belief,,Should Allie get in trouble with the teacher for taking Mike’s pencil?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,8,ToM-scene-8-q6-reality_check,8f,top,reality_check_question,behind,0.5,test_response,ToM-scene-8-q6-reality_check,,Can you help Mike find his pencil? Is it on top of the shelf or behind the backpack shelf?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,at_block_level,,,,,
Modified ToM-battery,8,ToM-scene-8-q7-reality_check,8g,behind,reality_check_question,top,0.5,test_response,ToM-scene-8-q7-reality_check,,Can you help Allie find her pencil? Is it on top of the shelf or behind the backpack shelf?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,at_block_level,,,,,
Modified ToM-battery,9,ToM-transition,,,instructions,,,instructions,ToM-transition,,Nice work! Here is a new story.,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,9,ToM-scene-9-instruct1,9a,,instructions,,,instructions,ToM-scene-9-instruct1,,"This is Mark. Mark is playing a really silly game today and not saying any words all day long. Instead, Mark’s drawing pictures. Mark is at the library, deciding which book he would like to read. Mom shows Mark two books, a book about cups and a book about hills.",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,9,ToM-scene-9-instruct2,9b,,instructions,,,instructions,ToM-scene-9-instruct2,,"Mark draws a picture of a hill, to tell Mom that he wants to read the book about hills. But when Mark gives Mom the picture, she holds it upside-down so that it looks like a cup!",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,9,ToM-scene-9-q1-reality_check,9c,hill,reality_check_question,cup,0.5,test_response,ToM-scene-9-q1-reality_check,,What did Mark mean to draw?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,at_block_level,,,,,
Modified ToM-battery,9,ToM-scene-9-q2-false_belief,9c,cupbook,false_belief_question,hillsbook,,test_response,ToM-scene-9-q2-false_belief,,"When Mom sees the picture, what book will she give Mark?",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,at_block_level,,,,,
Modified ToM-battery,9,ToM-scene-9-q3-reality_check,9a,hillsbook,reality_check_question,cupbook,0.5,test_response,ToM-scene-9-q3-reality_check,,What book does Mark really want?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,at_block_level,,,,,
Modified ToM-battery,9,ToM-scene-9-q4-emotion_reasoning,9d,happy,emotion_reasoning_question,"proud,scared,sad",0.25,test_response,ToM-scene-9-q4-emotion_reasoning,,"Look, Mom realized her mistake and gave Mark the book he really wanted! How do you think Mark feels about getting the book he wanted?",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,yes,,,,,
Modified ToM-battery,10,ToM-transition,,,instructions,,,instructions,ToM-transition,,Nice work! Here is a new story.,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,10,ToM-scene-10-instruct1,10a,,instructions,,,instructions,ToM-scene-10-instruct1,,Teacher Sarah tells all of the kids to take one storybook from the bag that she brought. There is one storybook for every kid.,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,10,ToM-scene-10-instruct2,10b,,instructions,,,instructions,ToM-scene-10-instruct2,,"Now there are two storybooks left, and Brian and Megan are the last two kids without storybooks. But when Brian goes to get his storybook, he decides to take both storybooks, even though he knows that Megan doesn’t have a storybook yet, and that everyone is only supposed to have one. Brian hides the extra storybook in his desk.",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,10,ToM-scene-10-q1-emotion_reasoning,10e,sad,emotion_reasoning_question,"happy,scared,proud",0.25,test_response,ToM-scene-10-q1-emotion_reasoning,,How does Megan feel about being the only child without a storybook?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,yes,,,,,
Modified ToM-battery,10,ToM-scene-10-q2-emotion_reasoning,10f,happy,emotion_reasoning_question,"sad,scared,proud",0.25,test_response,ToM-scene-10-q2-emotion_reasoning,,How would Megan feel if she received a book?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,yes,,,,,
Modified ToM-battery,10,ToM-scene-10-instruct3,10c,,instructions,,,instructions,ToM-scene-10-instruct3,,"Teacher Sarah asks Brian, “Is there a storybook leftover, so Megan can have one?”  Brian tells Teacher Sarah, “No, there is no storybook left. They are all being used right now.”",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,10,ToM-scene-10-q3-reality_check,10c,yes,reality_check_question,no,0.5,test_response,ToM-scene-10-q3-reality_check,,Is Brian lying?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,10,ToM-scene-10-q4-reality_check,10c,yes,reality_check_question,no,0.5,test_response,ToM-scene-10-q4-reality_check,,"Is there still a storybook left, that isn’t being used right now?",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,10,ToM-scene-10-instruct4,10d,,instructions,,,instructions,ToM-scene-10-instruct4,,"Megan is sad that she doesn’t have a storybook, and asks Teacher Sarah, ""is there an extra storybook for me?"" Teacher Sarah says, “I’m so sorry Megan, but there are no storybooks left, they are all being used right now.”",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,10,ToM-scene-10-q5-false_belief,10d,no,false_belief_question,yes,0.5,test_response,ToM-scene-10-q5-false_belief,,Is Teacher Sarah lying?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,10,ToM-scene-10-q6-reality_check,10d,yes,reality_check_question,no,0.5,test_response,ToM-scene-10-q6-reality_check,,"Is there still a storybook left, that isn’t being used right now?",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,11,ToM-transition,,,instructions,,,instructions,ToM-transition,,Nice work! Here is a new story.,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,11,ToM-scene-11-instruct1,11a,,instructions,,,instructions,ToM-scene-11-instruct1,,"This is Josh. Earlier today, Josh was tidying his room. Josh put his big basketball on his desk, his medium-sized soccer ball on his table, and his small baseball down on the bottom shelf.",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,11,ToM-scene-11-instruct2,11b,,instructions,,,instructions,ToM-scene-11-instruct2,,"Josh’s mom just walked in and Josh asks his mom to get one of the toys. Josh tells his mom, “I want the small ball!”",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,11,ToM-scene-11-q1-reference,11b,soccerball,reference_question,"baseball,big-basketball",0.33,test_response,ToM-scene-11-q1-reference,,Which ball will mom get for Josh?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,at_block_level,,,,,
Modified ToM-battery,11,ToM-scene-11-q2-reality_check,11b,baseball,reality_check_question,"soccerball,big-basketball",0.33,test_response,ToM-scene-11-q2-reality_check,,Which ball does Josh want?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,at_block_level,,,,,
Modified ToM-battery,11,ToM-scene-11-q3-emotion_reasoning,11c,sad,emotion_reasoning_question,"scared,happy,proud",0.25,test_response,ToM-scene-11-q3-emotion_reasoning,,Josh wanted the baseball but mom gave him the soccer ball! How do you think Josh feels about receiving the wrong toy?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,yes,,,,,
Modified ToM-battery,11,ToM-scene-11-q4-emotion_reasoning,11c,happy,emotion_reasoning_question,"sad,scared,proud",0.25,test_response,ToM-scene-11-q4-emotion_reasoning,,How do you think Josh would feel if he had received the correct toy?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,yes,,,,,
Modified ToM-battery,12,ToM-transition,,,instructions,,,instructions,ToM-transition,,Nice work! Here is a new story.,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,12,ToM-scene-12-instruct1,12a,,instructions,,,instructions,ToM-scene-12-instruct1,,"This morning, Dad asked Emma what toy she would like to take to school, and Emma told him that she would like to play with her yellow ball at recess.",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,12,ToM-scene-12-instruct2,12b,,instructions,,,instructions,ToM-scene-12-instruct2,,"Then Emma went to her room to get ready for school. While she was getting ready, she changed her mind, so she yelled to her dad, “Actually, may I please have my red ball instead?” and kept getting ready for school. But Dad did not hear Emma ask for her red ball.",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,12,ToM-scene-12-q1-false_belief,12c,yellowball,false_belief_question,redball,0.33,test_response,ToM-scene-12-q1-false_belief,,Which toy does Dad think Emma wants to bring to school?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,at_block_level,,,,,
Modified ToM-battery,12,ToM-scene-12-instruct3,12d,,instructions,,,instructions,ToM-scene-12-instruct3,,"Dad didn’t hear Emma say she wants her red ball. So dad thinks Emma wants her yellow ball. Dad goes to pack Emma’s bag, but can’t find her yellow ball in the toy box! But dad finds a blue ball in the toy box, so he packs the blue ball for Emma instead.",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,12,ToM-scene-12-q2-false_belief,12e,no,false_belief_question,yes,0.5,test_response,ToM-scene-12-q2-false_belief,,Does Emma know that Dad packed the blue ball?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,12,ToM-scene-12-q3-false_belief,12e,redball,false_belief_question,"yellowball,blueball",0.33,test_response,ToM-scene-12-q3-false_belief,,Which ball does Emma think Dad packed?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,at_block_level,,,,,
Modified ToM-battery,12,ToM-scene-12-instruct4,12f,,instructions,,,instructions,ToM-scene-12-instruct4,,"On the way to school, Dad tells Emma, “I’m so sorry, I couldn’t pack the toy that you wanted because I couldn’t find it”.",,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
Modified ToM-battery,12,ToM-scene-12-q4-reality_check,12g,redball,reality_check_question,"yellowball,blueball",0.33,test_response,ToM-scene-12-q4-reality_check,,What toy does Emma want?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,at_block_level,,,,,
Modified ToM-battery,12,ToM-scene-12-q5-reality_check,12e,blueball,reality_check_question,"redball,yellowball",0.33,test_response,ToM-scene-12-q5-reality_check,,What toy did Dad pack for Emma?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,at_block_level,,,,,
Modified ToM-battery,12,ToM-scene-12-instruct5,12h,,instructions,,,instructions,ToM-scene-12-instruct5,,Emma is very happy to play with her ball.,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
ToM-battery,2,ToM-transition,,,instructions,,,instructions,ToM-transition,,Nice work! Here is a new story.,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
ToM-battery,2,ToM-scene2-instruct1,2a,,instructions,,,instructions,ToM-scene2-instruct1,,"This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue!",7,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
ToM-battery,2,ToM-scene2-instruct2,2b,,instructions,,,instructions,ToM-scene2-instruct2,,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see?",8,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
ToM-battery,2,ToM-scene2-instruct3,2c,,instructions,,,instructions,ToM-scene2-instruct3,,"Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.",9,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
ToM-battery,2,ToM-scene2-q1-false_belief,2d,shelf,false_belief_question,coats,0.5,test_response,ToM-scene2-q1-false_belief,,"Now, when Ethan comes in from outside, where will he look first for his book?",10,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,at_block_level,,,,,
ToM-battery,2,ToM-scene2-instruct4,2e,,instructions,,,instructions,ToM-scene2-instruct4,,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!",11,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
ToM-battery,2,ToM-scene2-q2-emotion_reasoning,2g,angry,emotion_reasoning_question,"happy,calm,scared",0.25,test_response,ToM-scene2-q2-emotion_reasoning,,How do you think Hannah feels about Ethan reaching for that book?,12,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,yes,,,,,
ToM-battery,2,ToM-scene2-q7-emotion_reasoning,2g,calm,emotion_reasoning_question,"happy,angry,scared",0.25,test_response,ToM-scene2-q7-emotion_reasoning,,How do you think Hannah would feel if she had not seen Ethan reaching for the book?,,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,yes,,,,,
ToM-battery,2,ToM-scene2-q3-false_belief,2f_new2,no,false_belief_question,yes,0.5,test_response,ToM-scene2-q3-false_belief,,Is Ethan being mean and naughty for taking Hannah's book?,13,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
ToM-battery,2,ToM-scene2-q4-false_belief,2f_new2,no,false_belief_question,yes,0.5,test_response,ToM-scene2-q4-false_belief,,Should Ethan get in trouble with the teacher for taking Hannah's book?,14,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,no,,,,,
ToM-battery,2,ToM-scene2-q5-reality_check,2g,shelf,reality_check_question,coats,0.5,test_response,ToM-scene2-q5-reality_check,,Can you help Hannah find her book? Is it on the shelf or under the coats?,15,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,at_block_level,,,,,
ToM-battery,2,ToM-scene2-q6-reality_check,2f_new2,coats,reality_check_question,shelf,0.5,test_response,ToM-scene2-q6-reality_check,,Can you help Ethan find his book? Is it on the shelf or under the coats?,16,theory-of-mind,CO_theory-of-mind_retest-A,theory-of-mind,,at_block_level,,,,,
